日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20220831,8367,南都銀行,プライム（内国株式）,7050,銀行業,15,銀行 ,6,TOPIX Small 1
20220831,8368,百五銀行,プライム（内国株式）,7050,銀行業,15,銀行 ,7,TOPIX Small 2
20220831,8369,京都銀行,プライム（内国株式）,7050,銀行業,15,銀行 ,4,TOPIX Mid400
20220831,8370,紀陽銀行,プライム（内国株式）,7050,銀行業,15,銀行 ,6,TOPIX Small 1
20220831,8377,ほくほくフィナンシャルグループ,プライム（内国株式）,7050,銀行業,15,銀行 ,4,TOPIX Mid400
20220831,8381,山陰合同銀行,プライム（内国株式）,7050,銀行業,15,銀行 ,6,TOPIX Small 1
20220831,8382,中国銀行,プライム（内国株式）,7050,銀行業,15,銀行 ,4,TOPIX Mid400
20220831,8383,鳥取銀行,スタンダード（内国株式）,7050,銀行業,15,銀行 ,7,TOPIX Small 2
20220831,8385,伊予銀行,プライム（内国株式）,7050,銀行業,15,銀行 ,4,TOPIX Mid400
20220831,8386,百十四銀行,プライム（内国株式）,7050,銀行業,15,銀行 ,7,TOPIX Small 2
20220831,8387,四国銀行,プライム（内国株式）,7050,銀行業,15,銀行 ,7,TOPIX Small 2
20220831,8388,阿波銀行,プライム（内国株式）,7050,銀行業,15,銀行 ,6,TOPIX Small 1
20220831,8392,大分銀行,プライム（内国株式）,7050,銀行業,15,銀行 ,7,TOPIX Small 2
20220831,8393,宮崎銀行,プライム（内国株式）,7050,銀行業,15,銀行 ,7,TOPIX Small 2
